,longitude,housing_median_age,total_rooms,population,median_income,median_house_value,rooms_per_household,ocean_proximity_INLAND,ocean_proximity_ISLAND,ocean_proximity_NEAR BAY,ocean_proximity_NEAR OCEAN
0,-122.23,41.0,880.0,322.0,8.3252,452600.0,6.984126984126984,False,False,True,False
1,-122.22,21.0,7099.0,2401.0,8.3014,358500.0,6.238137082601054,False,False,True,False
2,-122.24,52.0,1467.0,496.0,7.2574,352100.0,8.288135593220339,False,False,True,False
3,-122.25,52.0,1274.0,558.0,5.6431,341300.0,5.8173515981735155,False,False,True,False
4,-122.25,52.0,1627.0,565.0,3.8462,342200.0,6.281853281853282,False,False,True,False
5,-122.25,52.0,919.0,413.0,4.0368,269700.0,4.761658031088083,False,False,True,False
6,-122.25,52.0,2535.0,1094.0,3.6591,299200.0,4.9319066147859925,False,False,True,False
7,-122.25,52.0,3104.0,1157.0,3.12,241400.0,4.797527047913447,False,False,True,False
8,-122.26,42.0,2555.0,1206.0,2.0804,226700.0,4.294117647058823,False,False,True,False
9,-122.25,52.0,3549.0,1551.0,3.6912,261100.0,4.970588235294118,False,False,True,False
10,-122.26,52.0,2202.0,910.0,3.2031,281500.0,5.477611940298507,False,False,True,False
11,-122.26,52.0,3503.0,1504.0,3.2705,241800.0,4.772479564032698,False,False,True,False
12,-122.26,52.0,2491.0,1098.0,3.075,213500.0,5.322649572649572,False,False,True,False
13,-122.26,52.0,696.0,345.0,2.6736,191300.0,4.0,False,False,True,False
14,-122.26,52.0,2643.0,1212.0,1.9167,159200.0,4.262903225806451,False,False,True,False
15,-122.26,50.0,1120.0,697.0,2.125,140000.0,4.242424242424242,False,False,True,False
16,-122.27,52.0,1966.0,793.0,2.775,152500.0,5.9395770392749245,False,False,True,False
17,-122.27,52.0,1228.0,648.0,2.1202,155500.0,4.052805280528053,False,False,True,False
18,-122.26,50.0,2239.0,990.0,1.9911,158700.0,5.343675417661098,False,False,True,False
19,-122.27,52.0,1503.0,690.0,2.6033,162900.0,5.465454545454546,False,False,True,False
20,-122.27,40.0,751.0,409.0,1.3578,147500.0,4.524096385542169,False,False,True,False
21,-122.27,42.0,1639.0,929.0,1.7135,159800.0,4.478142076502732,False,False,True,False
22,-122.27,52.0,2436.0,1015.0,1.725,113900.0,5.096234309623431,False,False,True,False
23,-122.27,52.0,1688.0,853.0,2.1806,99700.0,5.193846153846154,False,False,True,False
24,-122.27,52.0,2224.0,1006.0,2.6,132600.0,5.270142180094787,False,False,True,False
25,-122.28,41.0,535.0,317.0,2.4038,107500.0,4.495798319327731,False,False,True,False
26,-122.28,49.0,1130.0,607.0,2.4597,93800.0,4.7280334728033475,False,False,True,False
27,-122.28,52.0,1898.0,1102.0,1.808,105500.0,4.7808564231738035,False,False,True,False
28,-122.28,50.0,2082.0,1131.0,1.6424,108900.0,4.40169133192389,False,False,True,False
29,-122.28,52.0,729.0,395.0,1.6875,132000.0,4.703225806451613,False,False,True,False
30,-122.28,49.0,1916.0,863.0,1.9274,122300.0,5.068783068783069,False,False,True,False
31,-122.28,52.0,2153.0,1168.0,1.9615,115200.0,4.882086167800454,False,False,True,False
32,-122.27,48.0,1922.0,1026.0,1.7969,110400.0,5.737313432835821,False,False,True,False
33,-122.27,49.0,1655.0,754.0,1.375,104900.0,5.0303951367781155,False,False,True,False
34,-122.27,51.0,2665.0,1258.0,2.7303,109700.0,4.972014925373134,False,False,True,False
35,-122.27,49.0,1215.0,570.0,1.4861,97200.0,4.6022727272727275,False,False,True,False
36,-122.27,48.0,1798.0,987.0,1.0972,104500.0,4.807486631016043,False,False,True,False
37,-122.28,52.0,1511.0,901.0,1.4103,103900.0,3.7493796526054592,False,False,True,False
38,-122.26,52.0,1470.0,689.0,3.48,191400.0,4.757281553398058,False,False,True,False
39,-122.26,52.0,2432.0,1377.0,2.5898,176000.0,3.4942528735632186,False,False,True,False
40,-122.26,52.0,1665.0,946.0,2.0978,155400.0,4.215189873417722,False,False,True,False
41,-122.26,51.0,936.0,517.0,1.2852,150000.0,3.7590361445783134,False,False,True,False
42,-122.26,49.0,713.0,462.0,1.025,118800.0,3.7724867724867726,False,False,True,False
43,-122.26,52.0,950.0,467.0,3.9643,188800.0,4.797979797979798,False,False,True,False
44,-122.26,52.0,1443.0,660.0,3.0125,184400.0,4.941780821917808,False,False,True,False
45,-122.26,52.0,1656.0,718.0,2.6768,182300.0,4.335078534031414,False,False,True,False
46,-122.26,50.0,1125.0,616.0,2.026,142500.0,3.700657894736842,False,False,True,False
47,-122.27,43.0,1007.0,558.0,1.7348,137500.0,3.9802371541501977,False,False,True,False
48,-122.26,40.0,624.0,423.0,0.9506,187500.0,3.9,False,False,True,False
49,-122.27,40.0,946.0,700.0,1.775,112500.0,2.6875,False,False,True,False
50,-122.27,21.0,896.0,735.0,0.9218,171900.0,2.045662100456621,False,False,True,False
51,-122.27,43.0,1868.0,1061.0,1.5045,93800.0,4.58968058968059,False,False,True,False
